ensembl_gene_id	chromosome_name	external_gene_name	transcript_count	description
ENSG00000005469	7	CROT	7	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]
ENSG00000005483	7	KMT2E	17	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]
ENSG00000005486	7	RHBDD2	9	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]
ENSG00000005700	6	IBTK	9	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]
ENSG00000005801	11	ZNF195	28	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]
ENSG00000005810	13	MYCBP2	13	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]
ENSG00000005812	13	FBXL3	6	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]
ENSG00000005889	X	ZFX	12	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]
ENSG00000005893	X	LAMP2	6	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]
ENSG00000005955	17	GGNBP2	9	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]
ENSG00000005961	17	ITGA2B	12	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]
ENSG00000006007	16	GDE1	5	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]
ENSG00000006015	19	C19orf60	8	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]
ENSG00000006042	17	TMEM98	9	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]
ENSG00000006114	17	SYNRG	17	synergin, gamma [Source:HGNC Symbol;Acc:557]
ENSG00000006118	11	TMEM132A	15	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]
ENSG00000006125	17	AP2B1	19	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]
ENSG00000006128	7	TAC1	5	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]
ENSG00000006194	16	ZNF263	10	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]
ENSG00000006282	17	SPATA20	26	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]
ENSG00000006327	16	TNFRSF12A	7	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]
ENSG00000006432	14	MAP3K9	6	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]
ENSG00000006451	7	RALA	5	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]
ENSG00000006453	7	BAIAP2L1	5	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]
ENSG00000006459	7	KDM7A	4	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]
ENSG00000006468	7	ETV1	24	ets variant 1 [Source:HGNC Symbol;Acc:3490]
ENSG00000006530	7	AGK	11	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]
ENSG00000006576	7	PHTF2	12	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]
ENSG00000006606	7	CCL26	2	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]
ENSG00000006607	2	FARP2	23	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]
ENSG00000006625	7	GGCT	9	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]
ENSG00000006634	7	DBF4	8	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]
ENSG00000006652	7	IFRD1	16	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]
ENSG00000006695	17	COX10	6	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]
ENSG00000006704	7	GTF2IRD1	7	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]
ENSG00000006712	19	PAF1	9	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]
ENSG00000006715	7	VPS41	14	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]
ENSG00000006740	17	ARHGAP44	11	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]
ENSG00000006744	17	ELAC2	21	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]
ENSG00000006757	X	PNPLA4	4	patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:24887]
ENSG00000006831	12	ADIPOR2	7	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]
ENSG00000006837	5	CDKL3	15	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]
ENSG00000007047	19	MARK4	9	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]
ENSG00000007062	4	PROM1	21	prominin 1 [Source:HGNC Symbol;Acc:9454]
ENSG00000007080	19	CCDC124	4	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]
ENSG00000007168	17	PAFAH1B1	14	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]
ENSG00000007202	17	KIAA0100	16	KIAA0100 [Source:HGNC Symbol;Acc:28960]
ENSG00000007255	19	TRAPPC6A	5	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]
ENSG00000007341	1	ST7L	32	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]
ENSG00000007376	16	RPUSD1	10	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]
ENSG00000007384	16	RHBDF1	12	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]
ENSG00000007392	16	LUC7L	20	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]
ENSG00000007402	3	CACNA2D2	10	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]
ENSG00000007520	16	TSR3	2	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14175]
ENSG00000007541	16	PIGQ	16	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]
ENSG00000007545	16	CRAMP1L	10	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]
ENSG00000007866	6	TEAD3	3	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]
ENSG00000007923	1	DNAJC11	14	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]
ENSG00000007944	6	MYLIP	2	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:21155]
ENSG00000008018	6	PSMB1	2	proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:9537]
ENSG00000008083	6	JARID2	4	jumonji, AT rich interactive domain 2 [Source:HGNC Symbol;Acc:6196]
ENSG00000008086	X	CDKL5	3	cyclin-dependent kinase-like 5 [Source:HGNC Symbol;Acc:11411]
ENSG00000008128	1	CDK11A	24	cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730]
ENSG00000008130	1	NADK	19	NAD kinase [Source:HGNC Symbol;Acc:29831]
ENSG00000008256	7	CYTH3	11	cytohesin 3 [Source:HGNC Symbol;Acc:9504]
ENSG00000008277	7	ADAM22	12	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:201]
ENSG00000008282	7	SYPL1	6	synaptophysin-like 1 [Source:HGNC Symbol;Acc:11507]
ENSG00000008283	17	CYB561	21	cytochrome b561 [Source:HGNC Symbol;Acc:2571]
ENSG00000008294	17	SPAG9	21	sperm associated antigen 9 [Source:HGNC Symbol;Acc:14524]
ENSG00000008300	3	CELSR3	5	cadherin, EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:3230]
ENSG00000008311	7	AASS	7	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:17366]
ENSG00000008323	12	PLEKHG6	9	pleckstrin homology domain containing, family G (with RhoGef domain) member 6 [Source:HGNC Symbol;Acc:25562]
ENSG00000008324	3	SS18L2	3	synovial sarcoma translocation gene on chromosome 18-like 2 [Source:HGNC Symbol;Acc:15593]
ENSG00000008382	19	MPND	8	MPN domain containing [Source:HGNC Symbol;Acc:25934]
ENSG00000008394	12	MGST1	18	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:7061]
ENSG00000008405	12	CRY1	5	cryptochrome 1 (photolyase-like) [Source:HGNC Symbol;Acc:2384]
ENSG00000008516	16	MMP25	3	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:14246]
ENSG00000008710	16	PKD1	40	polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:9008]
ENSG00000008838	17	MED24	33	mediator complex subunit 24 [Source:HGNC Symbol;Acc:22963]
ENSG00000008869	2	HEATR5B	6	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:29273]
ENSG00000008952	3	SEC62	10	SEC62 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11846]
ENSG00000008988	8	RPS20	11	ribosomal protein S20 [Source:HGNC Symbol;Acc:10405]
ENSG00000009307	1	CSDE1	17	cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:29905]
ENSG00000009335	7	UBE3C	8	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:16803]
ENSG00000009413	6	REV3L	13	REV3-like, polymerase (DNA directed), zeta, catalytic subunit [Source:HGNC Symbol;Acc:9968]
ENSG00000009780	1	FAM76A	7	family with sequence similarity 76, member A [Source:HGNC Symbol;Acc:28530]
ENSG00000009830	14	POMT2	23	protein-O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:19743]
ENSG00000009844	6	VTA1	4	vesicle (multivesicular body) trafficking 1 [Source:HGNC Symbol;Acc:20954]
ENSG00000009954	7	BAZ1B	3	bromodomain adjacent to zinc finger domain, 1B [Source:HGNC Symbol;Acc:961]
ENSG00000010017	6	RANBP9	3	RAN binding protein 9 [Source:HGNC Symbol;Acc:13727]
ENSG00000010072	1	SPRTN	6	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:25356]
ENSG00000010165	1	METTL13	8	methyltransferase like 13 [Source:HGNC Symbol;Acc:24248]
ENSG00000010244	17	ZNF207	18	zinc finger protein 207 [Source:HGNC Symbol;Acc:12998]
ENSG00000010256	3	UQCRC1	10	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:12585]
ENSG00000010270	7	STARD3NL	8	STARD3 N-terminal like [Source:HGNC Symbol;Acc:19169]
ENSG00000010278	12	CD9	11	CD9 molecule [Source:HGNC Symbol;Acc:1709]
ENSG00000010292	12	NCAPD2	14	non-SMC condensin I complex, subunit D2 [Source:HGNC Symbol;Acc:24305]
ENSG00000010295	12	IFFO1	10	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:24970]
ENSG00000010322	3	NISCH	14	nischarin [Source:HGNC Symbol;Acc:18006]
ENSG00000010404	X	IDS	11	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:5389]
ENSG00000010539	16	ZNF200	10	zinc finger protein 200 [Source:HGNC Symbol;Acc:12993]
ENSG00000010803	1	SCMH1	17	sex comb on midleg homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19003]
ENSG00000010810	6	FYN	31	FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]
ENSG00000010932	1	FMO1	8	flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769]
ENSG00000011007	1	TCEB3	3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:11620]
ENSG00000011009	1	LYPLA2	11	lysophospholipase II [Source:HGNC Symbol;Acc:6738]
ENSG00000011021	1	CLCN6	9	chloride channel, voltage-sensitive 6 [Source:HGNC Symbol;Acc:2024]
ENSG00000011028	17	MRC2	7	mannose receptor, C type 2 [Source:HGNC Symbol;Acc:16875]
ENSG00000011105	12	TSPAN9	7	tetraspanin 9 [Source:HGNC Symbol;Acc:21640]
ENSG00000011114	14	BTBD7	9	BTB (POZ) domain containing 7 [Source:HGNC Symbol;Acc:18269]
ENSG00000011132	19	APBA3	8	amyloid beta (A4) precursor protein-binding, family A, member 3 [Source:HGNC Symbol;Acc:580]
ENSG00000011143	17	MKS1	15	Meckel syndrome, type 1 [Source:HGNC Symbol;Acc:7121]
ENSG00000011198	3	ABHD5	7	abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:21396]
ENSG00000011201	X	KAL1	3	Kallmann syndrome 1 sequence [Source:HGNC Symbol;Acc:6211]
ENSG00000011243	19	AKAP8L	20	A kinase (PRKA) anchor protein 8-like [Source:HGNC Symbol;Acc:29857]
ENSG00000011258	17	MBTD1	7	mbt domain containing 1 [Source:HGNC Symbol;Acc:19866]
ENSG00000011260	17	UTP18	7	UTP18 small subunit (SSU) processome component homolog (yeast) [Source:HGNC Symbol;Acc:24274]
ENSG00000011275	7	RNF216	9	ring finger protein 216 [Source:HGNC Symbol;Acc:21698]
ENSG00000011295	17	TTC19	11	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:26006]
ENSG00000011304	19	PTBP1	20	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:9583]
ENSG00000011332	19	DPF1	16	D4, zinc and double PHD fingers family 1 [Source:HGNC Symbol;Acc:20225]
ENSG00000011347	11	SYT7	10	synaptotagmin VII [Source:HGNC Symbol;Acc:11514]
ENSG00000011376	3	LARS2	8	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:17095]
ENSG00000011405	11	PIK3C2A	6	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:8971]
ENSG00000011422	19	PLAUR	16	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:9053]
ENSG00000011426	7	ANLN	13	anillin, actin binding protein [Source:HGNC Symbol;Acc:14082]
ENSG00000011451	19	WIZ	8	widely interspaced zinc finger motifs [Source:HGNC Symbol;Acc:30917]
ENSG00000011454	9	RABGAP1	13	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:17155]
ENSG00000011485	19	PPP5C	15	protein phosphatase 5, catalytic subunit [Source:HGNC Symbol;Acc:9322]
ENSG00000011523	2	CEP68	6	centrosomal protein 68kDa [Source:HGNC Symbol;Acc:29076]
ENSG00000011566	2	MAP4K3	14	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:6865]
ENSG00000011638	16	TMEM159	9	transmembrane protein 159 [Source:HGNC Symbol;Acc:30136]
ENSG00000011677	X	GABRA3	4	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]
ENSG00000012048	17	BRCA1	31	breast cancer 1, early onset [Source:HGNC Symbol;Acc:1100]
ENSG00000012061	19	ERCC1	17	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) [Source:HGNC Symbol;Acc:3433]
ENSG00000012174	X	MBTPS2	3	membrane-bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:15455]
ENSG00000012232	8	EXTL3	14	exostosin-like glycosyltransferase 3 [Source:HGNC Symbol;Acc:3518]
ENSG00000012660	6	ELOVL5	8	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:21308]
ENSG00000012817	Y	KDM5D	10	lysine (K)-specific demethylase 5D [Source:HGNC Symbol;Acc:11115]
ENSG00000012963	14	UBR7	8	ubiquitin protein ligase E3 component n-recognin 7 (putative) [Source:HGNC Symbol;Acc:20344]
ENSG00000012983	14	MAP4K5	10	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:6867]
ENSG00000013016	2	EHD3	2	EH-domain containing 3 [Source:HGNC Symbol;Acc:3244]
ENSG00000013275	19	PSMC4	6	proteasome (prosome, macropain) 26S subunit, ATPase, 4 [Source:HGNC Symbol;Acc:9551]
ENSG00000013288	4	MAN2B2	5	mannosidase, alpha, class 2B, member 2 [Source:HGNC Symbol;Acc:29623]
ENSG00000013297	3	CLDN11	10	claudin 11 [Source:HGNC Symbol;Acc:8514]
ENSG00000013306	17	SLC25A39	17	solute carrier family 25, member 39 [Source:HGNC Symbol;Acc:24279]
ENSG00000013374	7	NUB1	14	negative regulator of ubiquitin-like proteins 1 [Source:HGNC Symbol;Acc:17623]
ENSG00000013375	6	PGM3	14	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:8907]
ENSG00000013392	6	RWDD2A	2	RWD domain containing 2A [Source:HGNC Symbol;Acc:21385]
ENSG00000013441	2	CLK1	14	CDC-like kinase 1 [Source:HGNC Symbol;Acc:2068]
ENSG00000013503	12	POLR3B	4	polymerase (RNA) III (DNA directed) polypeptide B [Source:HGNC Symbol;Acc:30348]
ENSG00000013523	14	ANGEL1	6	angel homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19961]
ENSG00000013561	5	RNF14	18	ring finger protein 14 [Source:HGNC Symbol;Acc:10058]
ENSG00000013573	12	DDX11	32	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 [Source:HGNC Symbol;Acc:2736]
ENSG00000013583	12	HEBP1	4	heme binding protein 1 [Source:HGNC Symbol;Acc:17176]
ENSG00000013810	4	TACC3	10	transforming, acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:11524]
ENSG00000014123	6	UFL1	2	UFM1-specific ligase 1 [Source:HGNC Symbol;Acc:23039]
ENSG00000014138	11	POLA2	9	polymerase (DNA directed), alpha 2, accessory subunit [Source:HGNC Symbol;Acc:30073]
ENSG00000014164	8	ZC3H3	2	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:28972]
ENSG00000014216	11	CAPN1	28	calpain 1, (mu/I) large subunit [Source:HGNC Symbol;Acc:1476]
ENSG00000014641	2	MDH1	17	malate dehydrogenase 1, NAD (soluble) [Source:HGNC Symbol;Acc:6970]
ENSG00000014824	4	SLC30A9	5	solute carrier family 30 (zinc transporter), member 9 [Source:HGNC Symbol;Acc:1329]
ENSG00000014919	10	COX15	3	cytochrome c oxidase assembly homolog 15 (yeast) [Source:HGNC Symbol;Acc:2263]
ENSG00000015133	14	CCDC88C	14	coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:19967]
ENSG00000015171	10	ZMYND11	19	zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:16966]
ENSG00000015475	22	BID	10	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:1050]
ENSG00000015479	5	MATR3	46	matrin 3 [Source:HGNC Symbol;Acc:6912]
ENSG00000015532	17	XYLT2	7	xylosyltransferase II [Source:HGNC Symbol;Acc:15517]
ENSG00000015568	2	RGPD5	13	RANBP2-like and GRIP domain containing 5 [Source:HGNC Symbol;Acc:32418]
ENSG00000015676	7	NUDCD3	11	NudC domain containing 3 [Source:HGNC Symbol;Acc:22208]
ENSG00000016391	3	CHDH	3	choline dehydrogenase [Source:HGNC Symbol;Acc:24288]
ENSG00000016864	3	GLT8D1	17	glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:24870]
ENSG00000017260	3	ATP2C1	25	ATPase, Ca++ transporting, type 2C, member 1 [Source:HGNC Symbol;Acc:13211]
ENSG00000017483	X	SLC38A5	13	solute carrier family 38, member 5 [Source:HGNC Symbol;Acc:18070]
ENSG00000017797	18	RALBP1	5	ralA binding protein 1 [Source:HGNC Symbol;Acc:9841]
ENSG00000018189	4	RUFY3	16	RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:30285]
ENSG00000018236	12	CNTN1	12	contactin 1 [Source:HGNC Symbol;Acc:2171]
ENSG00000018408	3	WWTR1	12	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:24042]
ENSG00000018510	2	AGPS	3	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:327]
ENSG00000018610	X	CXorf56	4	chromosome X open reading frame 56 [Source:HGNC Symbol;Acc:26239]
ENSG00000018625	1	ATP1A2	8	ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:800]
